team,elo
Argentina,1971.1876022118502
Spain,1958.5501415486146
France,1929.9542061010586
Brazil,1909.8899211478936
Colombia,1891.5224290320232
Portugal,1880.4777928894919
England,1863.86193758844
Italy,1855.60908925188
Germany,1851.966767289004
Belgium,1840.534019150293
Uruguay,1840.2748473097088
Netherlands,1834.2548072417187
Croatia,1833.3987294447297
Ecuador,1832.4492969164846
Japan,1832.3579509949766
Morocco,1813.0378405876318
Senegal,1808.644790645464
Denmark,1798.8195188705579
Algeria,1793.0111236855173
Switzerland,1792.1303103557345
Iran,1791.0943874568527
South Korea,1788.756351177411
Mexico,1786.9125919629478
Turkey,1784.8586596768976
Australia,1772.4277234932174
Austria,1766.866468276102
Paraguay,1759.4520568626144
Norway,1748.3587644495726
Ukraine,1743.8899282631555
Canada,1736.6793415328552
Egypt,1736.6704805767756
Russia,1736.404833688011
Yugoslavia,1732.6224174827682
Nigeria,1732.038659052448
Ivory Coast,1730.0910707869925
Chile,1727.730739069349
Jersey,1724.459790008225
Venezuela,1722.5464680465516
Serbia,1721.5231948017172
Panama,1715.15445354109
United States,1715.0290562125324
Uzbekistan,1711.4439322982503
Sweden,1708.1068523134454
Tunisia,1705.928904553972
Czech Republic,1705.3708371560344
Scotland,1701.0900506378086
Peru,1697.4003540496012
Basque Country,1695.3636106885779
Czechoslovakia,1692.7486090713562
Poland,1690.3443972802118
Greece,1684.0327142806402
Hungary,1683.35131883825
Iraq,1675.6457511044453
Guernsey,1673.8792925182397
German DR,1673.5382880502532
Cameroon,1670.772524702156
Jordan,1661.3932154265303
Slovenia,1659.2429106348327
DR Congo,1659.0803295391975
Mali,1655.126497069795
Costa Rica,1651.3133753785592
Wales,1649.2698724478075
Republic of Ireland,1646.8265435517922
Saudi Arabia,1637.7546432136994
Burkina Faso,1636.5879506073463
Slovakia,1635.1697670618819
New Zealand,1632.244102474221
Isle of Man,1625.053175841764
Romania,1622.8129439494166
Ynys Môn,1620.503848657832
Ghana,1619.826293191266
South Africa,1617.588694529775
Cape Verde,1616.1505787843412
Kosovo,1606.7940709784223
Jamaica,1605.8652051659724
Honduras,1603.9553348951574
Georgia,1600.7232987563073
United Arab Emirates,1599.1108816617825
Bosnia and Herzegovina,1597.9089551541115
Padania,1597.0610721579897
Haiti,1592.9075030489214
Israel,1591.2340001822229
Occitania,1587.3161636431494
Isle of Wight,1586.9238871672653
Catalonia,1584.1363625732802
Bolivia,1582.1765074297805
Iceland,1580.5115306930597
Northern Cyprus,1575.2046951785746
Oman,1573.2754826250957
Northern Ireland,1570.855066448216
Qatar,1568.459332141353
New Caledonia,1568.0206530070852
North Macedonia,1566.4850145914672
Guatemala,1565.1257362070612
Iraqi Kurdistan,1563.2102685292107
Andalusia,1559.902827744651
Finland,1557.9630068480183
Kernow,1553.26183470378
Albania,1551.6658345612313
Abkhazia,1551.6175543376712
Réunion,1550.6187810771646
County of Nice,1545.3616315061179
Kárpátalja,1543.9299040741714
Rhodes,1543.458729613506
Angola,1542.9634343032183
Guinea,1542.3509092747502
Kurdistan,1540.173230380523
Ellan Vannin,1537.1018401603144
Zambia,1535.5105568577476
Tahiti,1534.0429366673548
Syria,1532.9885163249753
Panjab,1532.6342687249503
Arameans Suryoye,1531.2951287917715
Yorkshire,1530.0261041126316
Tamil Eelam,1529.9029496310404
Corsica,1529.6282384272129
Libya,1529.582405087352
Cascadia,1527.0200848900115
Thailand,1525.89770702183
Gabon,1525.311296618286
Suriname,1525.253570349267
Maule Sur,1525.0546695700991
Menorca,1523.0590587254485
China,1522.9820556251443
Palestine,1521.8840557139956
Curaçao,1521.5851307143805
Artsakh,1521.3739990374963
North Korea,1520.5774235734516
Galicia,1520.0368761672075
Crimea,1519.0906316470866
Uganda,1518.1582949789754
Belarus,1517.6323440904096
Chameria,1516.7958444541584
Trinidad and Tobago,1514.458380450092
Felvidék,1514.0909620713228
Asturias,1513.3178709372953
Benin,1512.4610272637644
Surrey,1511.9351991661604
Elba Island,1511.313020037419
Matabeleland,1510.4129426661202
Brittany,1509.085310132007
Franconia,1508.8153748059797
Bulgaria,1508.600767478369
Biafra,1508.0798331741064
Donetsk PR,1507.782083271078
Parishes of Jersey,1506.7631900111037
Bahrain,1506.6828004529273
Montenegro,1506.5850673976738
Quebec,1504.5876329294651
Canary Islands,1503.6456661344243
Guadeloupe,1501.8311294160974
Gambia,1501.0210808958143
Zanzibar,1500.7428350031207
East Turkestan,1500.736224549392
Central Spain,1500.3669376095977
El Salvador,1498.8047587975075
Western Armenia,1498.4722907232265
Vietnam,1497.279721194888
Saugeais,1496.7520768799843
Shetland,1496.209845403723
Luhansk PR,1494.9337702998637
Mapuche,1494.7403219249172
Délvidék,1493.0196668166736
North Vietnam,1492.8563649475268
Togo,1492.8503877367543
Cilento,1492.5844134625886
Sealand,1492.0333454576287
Monaco,1491.2840384533263
Kabylia,1491.1948622625057
Western Australia,1490.8059824216598
Hmong,1490.5971543610665
United Koreans in Japan,1490.0804549506283
Zimbabwe,1489.401367162197
Silesia,1489.1159073942908
Somaliland,1488.9426362431318
Kenya,1488.8923540528974
Madrid,1488.5264819548659
South Yemen,1487.593218169018
Ryūkyū,1486.6531504111363
Seborga,1486.6433725490517
Yoruba Nation,1484.2080477058355
Chechnya,1483.318547906591
Fiji,1482.7227738380764
West Papua,1482.602302008873
Malaysia,1481.7096102673254
South Ossetia,1480.575304610881
Aymara,1480.2050085049837
Martinique,1479.352133423106
Western Isles,1479.02351505337
Székely Land,1478.8313932853505
Åland Islands,1478.5261986025819
Niue,1478.4504933058233
Two Sicilies,1478.0547683280104
Romani people,1477.8758039615325
Gozo,1477.6211791232383
Ticino,1476.6128492754963
Mozambique,1476.3860615296878
Republic of St. Pauli,1476.3716914038082
Vanuatu,1474.8002427457468
Mayotte,1473.4942995526108
Madagascar,1471.0476791490742
Papua New Guinea,1470.2703430298957
Kuwait,1469.8440984723666
Palau,1469.2041767701496
Marshall Islands,1468.647285879424
Comoros,1468.4402434983022
Vietnam Republic,1468.4385409797662
Guyana,1467.7112974183506
Ambazonia,1467.1733709394666
Găgăuzia,1465.5742838462338
Sark,1465.2395060015808
Manchukuo,1465.2245431151052
Mauritania,1463.844955278049
Lebanon,1459.8175048104472
Indonesia,1459.0428249119022
Sierra Leone,1459.022144653604
Nicaragua,1458.1957250106568
Greenland,1457.7569363367904
Sudan,1457.5612629201964
Sápmi,1456.344380651121
Saarland,1456.0997061354826
Yemen DPR,1456.0086619981548
Solomon Islands,1455.699029336034
Saint Barthélemy,1454.4254381314079
Tajikistan,1454.2721432046078
Micronesia,1453.8499915570615
Western Sahara,1453.066994843771
Provence,1452.8522302868514
Rwanda,1452.829320345005
Vatican City,1452.7437694824455
Equatorial Guinea,1451.5957745174833
Malawi,1450.584136759036
Kazakhstan,1448.2721463740716
Dominican Republic,1445.5027894110697
Saint Pierre and Miquelon,1444.671592482362
French Guiana,1444.4820439536572
Gotland,1443.5033139038314
Namibia,1443.259501339544
Cuba,1442.6378530015734
Raetia,1442.5573117371132
Saint Helena,1442.4783962097201
Estonia,1437.4536455993787
Botswana,1436.3861051921351
Chagos Islands,1433.4892163546983
Darfur,1432.342534394956
Tanzania,1429.0467277812384
Orkney,1428.0427627734534
Niger,1426.5694012815375
Barawa,1425.891453958013
Wallis Islands and Futuna,1425.8170345458211
Kyrgyzstan,1425.4788904672146
Hitra,1424.0912845498801
Turkmenistan,1423.98996963958
Burundi,1417.259941752401
Armenia,1416.6471192183592
Guinea-Bissau,1413.1192107398651
Ethiopia,1411.7267558940289
Luxembourg,1410.8266228204416
Kiribati,1408.6274864948512
Liberia,1404.6067132991918
Congo,1402.6357343748916
Saint Vincent and the Grenadines,1398.896942946745
Sint Maarten,1397.120729070371
Lesotho,1392.9046924855706
Saare County,1389.0688770466008
Bermuda,1386.3430722127378
Azerbaijan,1385.486313576591
Tuvalu,1383.9703066179386
Philippines,1380.1783095476076
Central African Republic,1380.1662653580288
Tibet,1379.1022675243355
Cyprus,1378.5396952870651
Faroe Islands,1373.1665734918765
Puerto Rico,1372.7322426014182
Saint Kitts and Nevis,1370.076534848954
Saint Martin,1368.7774055139357
Falkland Islands,1354.6234215174586
Belize,1353.7396011517649
Hong Kong,1353.6107434235066
Samoa,1352.8800372356766
Eswatini,1351.4725020705414
Frøya,1351.1816474192087
Singapore,1348.3599217066278
Cook Islands,1342.4967778996045
Lithuania,1341.1637163718294
Latvia,1339.6741414570074
Malta,1337.8173505869277
Bonaire,1336.0576668267681
Montserrat,1335.6825499138595
Saint Lucia,1335.5840746425008
India,1335.1041029806233
Moldova,1329.3769906839275
Grenada,1328.941374078157
Yemen,1326.820922210712
Eritrea,1324.283738754797
South Sudan,1323.9300285484455
Chad,1320.5842259288256
Turks and Caicos Islands,1289.0042626594634
Aruba,1287.4015078692744
Afghanistan,1286.245167368359
Tonga,1283.8426336019209
São Tomé and Príncipe,1281.0459617333315
Dominica,1280.3923162837548
Mauritius,1280.130293166615
Antigua and Barbuda,1279.59925162634
Barbados,1266.2037860001344
Northern Mariana Islands,1257.8468805903667
Myanmar,1250.245913422074
Nepal,1235.4020268819822
Gibraltar,1235.0730498218409
Taiwan,1232.676019064377
Bangladesh,1232.4302239290519
Cayman Islands,1219.297264001195
Bahamas,1217.4534756727062
British Virgin Islands,1215.2150905318267
