team,Group,Round of 16,Quarter-final,Semi-final,Final,Winner
Argentina,60.04,60.04,34.08,0.0,21.22,11.98
Belgium,49.05,49.05,21.6,0.0,7.79,2.76
Brazil,48.42,48.42,24.16,0.0,13.26,6.71
Croatia,66.33,66.33,33.3,0.0,14.86,6.8
England,43.2,43.2,17.98,0.0,8.71,3.96
France,59.86,59.86,31.72,0.0,18.5,9.97
Germany,50.33,50.33,23.24,0.0,11.55,4.72
Italy,41.94,41.94,19.65,0.0,8.1,3.33
Japan,31.68,31.68,12.66,0.0,5.96,2.44
Mexico,33.08,33.08,13.93,0.0,4.7,1.78
Netherlands,60.26,60.26,32.57,0.0,14.68,7.16
Portugal,64.72,64.72,34.22,0.0,15.53,7.47
South Korea,28.23,28.23,9.77,0.0,4.48,1.56
Spain,78.24,78.24,46.39,0.0,29.98,19.14
USA,11.38,11.38,2.7,0.0,0.57,0.1
Uruguay,73.24,73.24,42.03,0.0,20.11,10.12
