team,Group,Round of 16,Quarter-final,Semi-final,Final,Winner
Argentina,59.84,59.84,33.44,0.0,20.34,11.7
Belgium,49.2,49.2,21.24,0.0,7.58,3.14
Brazil,47.96,47.96,24.26,0.0,13.3,6.66
Croatia,66.54,66.54,32.82,0.0,14.5,6.46
England,42.62,42.62,18.16,0.0,8.84,3.88
France,60.58,60.58,32.22,0.0,17.78,9.06
Germany,51.6,51.6,23.92,0.0,12.4,5.4
Italy,42.86,42.86,20.02,0.0,8.0,3.28
Japan,31.62,31.62,12.34,0.0,5.46,2.4
Mexico,33.44,33.44,13.26,0.0,5.22,1.98
Netherlands,59.1,59.1,32.24,0.0,14.54,6.86
Portugal,64.6,64.6,35.02,0.0,16.04,7.34
South Korea,26.96,26.96,9.04,0.0,3.5,1.44
Spain,78.82,78.82,46.62,0.0,30.08,18.64
USA,11.84,11.84,2.58,0.0,0.82,0.26
Uruguay,72.42,72.42,42.82,0.0,21.6,11.5
